Cash Positions Details,,,,,,,,Account Details,,,,,,Future Positions List,,,,,
Client ID,Accounting Balance,Accounting Balance,Value Date,Balance at Value Date,Balance at Value Date,Exchange Values Rate,Last Booking Date,IBAN,KBL Cash Account Number,Client Name,Account Title,Account Type,Account currency,Future Date D+1,Future Position D+1,Future Date D+2,Future Position D+2,Future Date D+3,Future Position D+3
,,Exchange Value (EUR),,,Exchange Value (EUR),,,,,,,,,,,,,,
ID-A1DBC22D,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",28/06/2024,ID-3D30D10D,ID-A1DBC22D,,ID-957FA950,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-0F31BF99,"47.157,39","54.001,38",31/12/2025,"47.157,39","54.001,38","1,145,130,784,275,790",23/12/2025,ID-132DCBE7,ID-0F31BF99,,ID-2E8F30A4,CC,GBP,02/01/2026,"47.157,39",05/01/2026,"47.157,39",06/01/2026,"47.157,39"
ID-0F31BF99,"9.687,65","11.093,63",31/12/2025,"9.687,65","11.093,63","1,145,130,784,275,790",31/12/2025,ID-132DCBE7,ID-0F31BF99,,ID-2E8F30A4,CC,GBP,02/01/2026,"9.687,65",05/01/2026,"9.687,65",06/01/2026,"9.687,65"
ID-0F31BF99,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",06/02/2023,ID-132DCBE7,ID-0F31BF99,,ID-2E8F30A4,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-0F31BF99,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",31/12/2025,ID-132DCBE7,ID-0F31BF99,,ID-2E8F30A4,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-AD395709,"6.187,63","7.085,65",31/12/2025,"6.187,63","7.085,65","1,145,130,784,275,790",31/12/2025,ID-78289751,ID-AD395709,,ID-4825D25C,CC,GBP,02/01/2026,"6.187,63",05/01/2026,"6.187,63",06/01/2026,"6.187,63"
ID-AD395709,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",31/12/2025,ID-78289751,ID-AD395709,,ID-4825D25C,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-ABC599EA,"41.653,25","47.698,42",31/12/2025,"41.653,25","47.698,42","1,145,130,784,275,790",23/12/2025,ID-C84510D2,ID-ABC599EA,,ID-DB50DCA1,CC,GBP,02/01/2026,"41.653,25",05/01/2026,"41.653,25",06/01/2026,"41.653,25"
ID-ABC599EA,"6.834,09","7.825,93",31/12/2025,"6.834,09","7.825,93","1,145,130,784,275,790",31/12/2025,ID-C84510D2,ID-ABC599EA,,ID-DB50DCA1,CC,GBP,02/01/2026,"6.834,09",05/01/2026,"6.834,09",06/01/2026,"6.834,09"
ID-ABC599EA,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",06/02/2023,ID-C84510D2,ID-ABC599EA,,ID-DB50DCA1,75,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-ABC599EA,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",31/12/2025,ID-C84510D2,ID-ABC599EA,,ID-DB50DCA1,IV,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","1,00",10/02/2025,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,CC,EUR,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
ID-CE7BD550,"0,00","0,00",31/12/2025,"0,00","0,00","1,145,130,784,275,790",19/02/2025,ID-6181C50D,ID-CE7BD550,,ID-4AF2242A,CC,GBP,02/01/2026,"0,00",05/01/2026,"0,00",06/01/2026,"0,00"
